promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mrna_5p,rare_clusters,chaperone_load,promoter_sp_prior,concordance_n,composite,top20_cai,top20_mrna_5p,top20_chaperone_load,top20_promoter_sp_prior
PtefI,SPamyB,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPamyB,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPamyB,5p_softened,direct_his6_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPamyB,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPglaA_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPglaA_pro,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPglaA_pro,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPglaA_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPglaA_pro,5p_softened,direct_his6_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PtefI,SPglaA_pro,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,0.65000,3,0.77212,1,1,1,0
PamyB,SPcbhI_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.25000,0.68000,3,0.77186,1,1,1,0
PamyB,SPpepO_pro,5p_softened,glaA_trunc_KR_3xAla,prop_native,nglyc_ablated,0.91474,0.73333,2,2.05000,0.90000,3,0.77155,1,1,0,1
PamyB,SPalpA_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_native,nglyc_native,0.67874,0.73333,2,0.15000,0.92000,3,0.77105,0,1,1,1
PamyB,SPalpA_pro,5p_softened_balanced,direct_his6_pts1ok,prop_native,nglyc_native,0.67874,0.73333,2,0.15000,0.92000,3,0.77105,0,1,1,1
PenoA,SPglaA,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_native,0.91474,0.73333,2,0.15000,0.66500,3,0.77083,1,1,1,0
PenoA,SPglaA,5p_softened,direct_his6_pts1ok,prop_native,nglyc_native,0.91474,0.73333,2,0.15000,0.66500,3,0.77083,1,1,1,0
PamyB,SPpepO,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,cai_max,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,cai_max,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,cai_max,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,cai_max,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,high_gc,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,high_gc,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,high_gc,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPpepO,high_gc,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,cai_max,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,cai_max,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,cai_max,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,cai_max,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,high_gc,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,high_gc,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,high_gc,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PamyB,SPlipase_pro,high_gc,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,cai_max,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,cai_max,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,cai_max,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,cai_max,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
