promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pLDDT,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm,concordance_n5,composite_v1
PglaA,SPamyB_pro,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-19.7000,3.7000,0.8500,89.3800,1,0,1,1,1,4,0.8654
PglaA,SPamyB_pro,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-19.7000,3.7000,0.8500,89.3800,1,0,1,1,1,4,0.8654
PglaA,SPamyB_pro,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-19.7000,3.7000,0.8500,89.3800,1,0,1,1,1,4,0.8654
PglaA,SPamyB_pro,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-19.7000,3.7000,0.8500,89.3800,1,0,1,1,1,4,0.8654
PamyB,SPglaA_pro,cai_max,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-17.3000,3.6000,0.9709,88.7700,1,1,1,1,0,4,0.8634
PamyB,SPglaA_pro,cai_max,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-17.3000,3.6000,0.9709,88.7700,1,1,1,1,0,4,0.8634
PamyB,SPglaA_pro,high_gc,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-17.3000,3.6000,0.9709,88.7700,1,1,1,1,0,4,0.8634
PamyB,SPglaA_pro,high_gc,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-17.3000,3.6000,0.9709,88.7700,1,1,1,1,0,4,0.8634
PnmtA,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.5825,89.7500,1,1,1,0,1,4,0.8571
PnmtA,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5825,89.7500,1,1,1,0,1,4,0.8571
PnmtA,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.5825,89.7500,1,1,1,0,1,4,0.8571
PnmtA,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5825,89.7500,1,1,1,0,1,4,0.8571
PtefI,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.6311,89.5800,1,1,1,0,1,4,0.8566
PtefI,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.6311,89.5800,1,1,1,0,1,4,0.8566
PtefI,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.6311,89.5800,1,1,1,0,1,4,0.8566
PtefI,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.6311,89.5800,1,1,1,0,1,4,0.8566
PenoA,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.6796,89.4300,1,1,1,0,1,4,0.8560
PenoA,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.6796,89.4300,1,1,1,0,1,4,0.8560
PenoA,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.6796,89.4300,1,1,1,0,1,4,0.8560
PenoA,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.6796,89.4300,1,1,1,0,1,4,0.8560
PamyB,SPlipase,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-20.5000,3.6000,0.7767,89.5400,1,0,1,1,1,4,0.8544
PamyB,SPlipase,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-20.5000,3.6000,0.7767,89.5400,1,0,1,1,1,4,0.8544
PamyB,SPlipase,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-20.5000,3.6000,0.7767,89.5400,1,0,1,1,1,4,0.8544
PamyB,SPlipase,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-20.5000,3.6000,0.7767,89.5400,1,0,1,1,1,4,0.8544
PamyB,SPglaA_pro,cai_max,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,1.0000,-17.3000,3.7000,0.9709,88.6900,1,1,1,1,0,4,0.8544
PamyB,SPglaA_pro,cai_max,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,1.0000,-17.3000,3.7000,0.9709,88.6900,1,1,1,1,0,4,0.8544
PamyB,SPglaA_pro,high_gc,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,1.0000,-17.3000,3.7000,0.9709,88.6900,1,1,1,1,0,4,0.8544
PamyB,SPglaA_pro,high_gc,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,1.0000,-17.3000,3.7000,0.9709,88.6900,1,1,1,1,0,4,0.8544
PamyB,SPglaA,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-18.0000,3.7000,0.9515,88.7900,1,1,1,1,0,4,0.8533
PamyB,SPglaA,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-18.0000,3.7000,0.9515,88.7900,1,1,1,1,0,4,0.8533
PamyB,SPglaA,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-18.0000,3.7000,0.9515,88.7900,1,1,1,1,0,4,0.8533
