bin_lo	bin_hi	count	pct
50	55	0	0.0
55	60	0	0.0
60	65	0	0.0
65	70	0	0.0
70	75	0	0.0
75	80	0	0.0
80	85	0	0.0
85	90	720	100.0
90	95	0	0.0
